catalog_number,model,lens,iso,focal_length,flash,f-stop,shutter_speed,dimensions,original_file_size,recorder,microphone,accessories,camera,common_name,scientific_name,photographer,date,year,rating,num_ratings,location,normalized_rating
613340608,ILCE-7M2,,500,126.2 mm,Flash did not fire,f/6.3,1/125 sec,4577 pixels x 3043 pixels,2.87 MB,,,,,Jack Snipe,Lymnocryptes minimus,Harry Coghill,2024-01-10,2024,4.75,51,Europe,4.75
529969271,NIKON D500,,1100,600 mm,Flash did not fire,f/6.3,1/2500 sec,4986 pixels x 3324 pixels,5.36 MB,,,,,Red Kite,Milvus milvus,Victor & Sophie,2023-01-22,2023,4.75,32,Europe,4.75
616390858,X-T4,XF150-600mmF5.6-8 R LM OIS WR,1000,405.6 mm,,f/8.0,1/800 sec,2048 pixels x 1365 pixels,640.45 KB,,,,,Ground Parrot,Pezoporus wallicus,Veeraj Sharma,2024-03-23,2024,4.75,28,Australia,4.75
400329251,NIKON D5600,70.0-300.0 mm f/4.5-6.3,800,300 mm,Flash did not fire,f/6.3,1/4000 sec,4777 pixels x 3262 pixels,11.89 MB,,,,,Long-billed Pipit,Anthus similis,Karan Matalia,2021-12-18,2021,4.75,79,Asia,4.75
33886011,NIKON D5300,,1250,300 mm,"Flash fired, return detected",f/9.0,1/200 sec,4759 pixels x 3172 pixels,1.62 MB,,,,,Northern Pygmy-Owl,Glaucidium gnoma,David de Rivera Tønnessen,2016-06-27,2016,4.75,76,North America,4.75
202442901,Canon EOS 5D Mark III,EF300mm f/2.8L IS USM,3200,300 mm,"Flash did not fire, auto",f/2.8,1/800 sec,2469 pixels x 1646 pixels,2.81 MB,,,,,Albert's Lyrebird,Menura alberti,Bruce Robinson,2020-01-20,2020,4.75,28,Australia,4.75
58737651,Canon EOS-1D Mark IV,,800,700 mm,"Flash did not fire, auto",f/5.6,1/320 sec,3230 pixels x 3019 pixels,2.89 MB,,,,,Indigo Bunting,Passerina cyanea,James Kinderman,2017-05-20,2017,4.75,205,North America,4.75
500711951,ILCE-7M3,FE 200-600mm F5.6-6.3 G OSS,2500,600 mm,Flash did not fire,f/6.3,1/2000 sec,2622 pixels x 1748 pixels,7.23 MB,,,,,Hen Harrier,Circus cyaneus,You-Sheng Lin,2022-11-05,2022,4.75,83,Asia,4.75
529072441,Canon EOS 7D Mark II,EF300mm f/4L IS USM +1.4x,320,420 mm,Flash did not fire,f/6.3,1/1250 sec,1500 pixels x 1000 pixels,762.33 KB,,,,,European Storm-Petrel,Hydrobates pelagicus,Carla Palricas,2023-01-28,2023,4.75,24,Europe,4.75
87138011,Canon EOS 7D,EF100-400mm f/4.5-5.6L IS USM,500,275 mm,"Flash did not fire, auto",f/8.0,1/500 sec,4867 pixels x 2972 pixels,7.24 MB,,,,,Mandarin Duck,Aix galericulata,Paul Lewis,2018-02-23,2018,4.74,57,Europe,4.74
184351651,Canon EOS 7D Mark II,EF500mm f/4L IS USM,1000,500 mm,"Flash did not fire, auto",f/5.6,1/800 sec,1200 pixels x 800 pixels,698.49 KB,,,,,Lesser Violetear (Andean),Colibri cyanotus cyanotus/crissalis,David Pereksta,2019-03-25,2019,4.74,39,South America,4.74
183797061,NIKON D5600,200.0-500.0 mm f/5.6,500,500 mm,"Flash did not fire, auto",f/5.6,1/1000 sec,2888 pixels x 1925 pixels,1.45 MB,,,,,Oriental Skylark,Alauda gulgula,amaljith c k,2019-10-08,2019,4.74,31,Asia,4.74
281563301,Canon EOS 80D,EF100-400mm f/4.5-5.6L IS USM,640,210 mm,Flash did not fire,f/7.1,1/500 sec,3000 pixels x 2000 pixels,1.63 MB,,,,,Short-eared Owl,Asio flammeus,Jeff Wahl,2020-11-21,2020,4.74,135,North America,4.74
202507391,NIKON D500,500.0 mm f/5.6,220,500 mm,Flash did not fire,f/5.6,1/2000 sec,3403 pixels x 2264 pixels,384.46 KB,,,,,Pied Stilt,Himantopus leucocephalus,Roy Burgess,2020-01-24,2020,4.74,43,Australia,4.74
138906281,NIKON D7200,,640,500 mm,"Flash did not fire, auto",f/7.1,1/320 sec,2939 pixels x 1832 pixels,1.6 MB,,,,,Spotted Crake,Porzana porzana,AVINASH SHARMA,2019-02-02,2019,4.74,31,Asia,4.74
389803171,ILCE-1,FE 200-600mm F5.6-6.3 G OSS,160,422 mm,Flash did not fire,f/5.6,1/1000 sec,4416 pixels x 2944 pixels,2.42 MB,,,,,Snowy Owl,Bubo scandiacus,David Hurtado,2021-11-19,2021,4.74,46,Europe,4.74
316521801,COOLPIX P1000,,140,467 mm,Flash did not fire,f/7.1,1/500 sec,4440 pixels x 2960 pixels,2.74 MB,,,,,Dartford Warbler,Curruca undata,Rui Jorge,2021-03-14,2021,4.74,50,Europe,4.74
191469531,Canon EOS 7D,EF400mm f/5.6L USM,640,400 mm,"Flash did not fire, auto",f/5.6,1/800 sec,3528 pixels x 2921 pixels,4.42 MB,,,,,White-necked Jacobin,Florisuga mellivora,Roni Martinez,2019-12-04,2019,4.74,86,North America,4.74
300744721,NIKON D7500,,1250,400 mm,Flash did not fire,f/6.3,1/800 sec,5412 pixels x 3637 pixels,4.83 MB,,,,,Black Phoebe,Sayornis nigricans,Tim Swain,2021-01-23,2021,4.74,72,North America,4.74
148546221,Canon EOS 6D,TAMRON SP 150-600mm F/5-6.3 Di VC USD G2 A022,1600,600 mm,"Flash did not fire, auto",f/10.0,1/4000 sec,2037 pixels x 1358 pixels,1.72 MB,,,,,Osprey,Pandion haliaetus,Juan Figueroa Castillo,2019-03-31,2019,4.74,35,South America,4.74
146959011,NIKON D500,300.0 mm f/4.0,2000,420 mm,Flash did not fire,f/5.6,1/30 sec,4555 pixels x 2851 pixels,2.48 MB,,,,,Malaysian Rail-babbler,Eupetes macrocerus,Kimberly Arnold,2019-03-22,2019,4.74,31,Asia,4.74
188941391,NIKON D500,500.0 mm f/5.6,4500,500 mm,Flash did not fire,f/6.3,1/1000 sec,1884 pixels x 1234 pixels,448.69 KB,,,,,Townsend's Warbler,Setophaga townsendi,Mel Senac,2019-11-19,2019,4.74,82,North America,4.74
89277051,NIKON D7200,,,500 mm,"Flash did not fire, auto",f/5.6,39/250000 sec,2618 pixels x 1800 pixels,584.11 KB,,,,,Black Eagle,Ictinaetus malaiensis,Rajesh Radhakrishnan,2018-03-11,2018,4.74,23,Asia,4.74
320315191,NIKON D7100,,280,460 mm,Flash did not fire,f/8.0,1/750 sec,1920 pixels x 1280 pixels,1.09 MB,,,,,European Stonechat,Saxicola rubicola,Jorge  Safara,2021-03-25,2021,4.74,23,Europe,4.74
67818791,Canon PowerShot SX40 HS,,100,52.3 mm,"Flash did not fire, auto",f/5.0,1/1250 sec,4000 pixels x 2248 pixels,1.22 MB,,,,,Snowy Sheathbill,Chionis albus,Nicholas Fordyce - Birding Africa,2015-03-30,2015,4.74,23,Antarctica,4.74
316787051,ILCE-7C,E 28-200mm F2.8-5.6 A071,100,200 mm,Flash did not fire,f/5.6,1/1250 sec,1469 pixels x 979 pixels,508.34 KB,,,,,Brown Goshawk,Tachyspiza fasciata,Michael Drake,2021-03-15,2021,4.74,50,Australia,4.74
102514241,Canon EOS REBEL T5i,EF400mm f/5.6L USM,640,400 mm,"Flash did not fire, auto",f/5.6,1/800 sec,3268 pixels x 2179 pixels,4.86 MB,,,,,Blackburnian Warbler,Setophaga fusca,Tom Auer,2018-05-28,2018,4.74,103,North America,4.74
169028261,Canon EOS 7D,EF100-400mm f/4.5-5.6L IS USM,1000,190 mm,"Flash did not fire, auto",f/6.3,1/1000 sec,5184 pixels x 3456 pixels,2.8 MB,,,,,Indian Yellow-nosed Albatross,Thalassarche carteri,Peter Carr,2019-07-21,2019,4.74,34,Australia,4.74
308003261,NIKON D500,,640,600 mm,Flash did not fire,f/6.3,1/1600 sec,3840 pixels x 2560 pixels,6.99 MB,,,,,Short-eared Owl,Asio flammeus,Miguel Arribas Tiemblo,2021-02-15,2021,4.74,74,Europe,4.74
478981791,NIKON D500,300.0 mm f/4.0,1600,420 mm,Flash did not fire,f/8.0,1/1250 sec,2400 pixels x 1600 pixels,1.32 MB,,,,,Eurasian Griffon,Gyps fulvus,Giuseppe Citino,2022-04-05,2022,4.74,65,Europe,4.74
111050781,Canon EOS 70D,EF600mm f/4L IS II USM,800,600 mm,"Flash did not fire, auto",f/4.5,1/400 sec,1024 pixels x 683 pixels,519.13 KB,,,,,Western Swamphen,Porphyrio porphyrio,MERCIER Christophe,2018-08-15,2018,4.74,23,Europe,4.74
463355621,COOLPIX P900,,400,250 mm,Flash did not fire,f/6.3,1/125 sec,4384 pixels x 2923 pixels,1.83 MB,,,,,Great Kiskadee,Pitangus sulphuratus,Diego Castelli,2022-06-28,2022,4.74,112,South America,4.74
191584441,DSC-HX400V,4.3-215mm f/2.8-6.3,800,135.2 mm,"Flash did not fire, auto",f/5.6,0.01 sec,5184 pixels x 3888 pixels,6.38 MB,,,,,Barbary Partridge,Alectoris barbara,Antonio Jesús Sepúlveda,2019-12-05,2019,4.74,35,Europe,4.74
110084431,NIKON D7200,,640,300 mm,"Flash did not fire, auto",f/9.0,1/2500 sec,2400 pixels x 1600 pixels,1.93 MB,,,,,Demoiselle Crane,Anthropoides virgo,Justin Peter,2018-03-02,2018,4.74,38,Asia,4.74
333266771,Canon EOS 60D,150-600mm F5-6.3 DG OS HSM | Contemporary 015,2500,600 mm,Flash did not fire,f/6.3,1/1250 sec,2121 pixels x 2835 pixels,1.92 MB,,,,,Short-eared Owl,Asio flammeus,Fernando Jubete Guzon,2021-05-02,2021,4.74,61,Europe,4.74
176008221,Canon EOS REBEL T4i,EF400mm f/5.6L USM,1250,400 mm,"Flash did not fire, auto",f/6.3,1/1000 sec,4142 pixels x 2761 pixels,7.97 MB,,,,,Agami Heron,Agamia agami,Isaias Soliz +502 3047 5583 www.voltanadventures.com,2019-09-03,2019,4.74,66,North America,4.74
491939461,Canon EOS R6,RF100-500mm F4.5-7.1 L IS USM,200,500 mm,Flash did not fire,f/7.1,1/800 sec,1995 pixels x 1995 pixels,1.5 MB,,,,,Audouin's Gull,Ichthyaetus audouinii,Sean Sparrow,2022-10-09,2022,4.74,38,Europe,4.74
336930211,COOLPIX P1000,,400,324 mm,Flash did not fire,f/6.3,1/200 sec,2500 pixels x 1875 pixels,2.76 MB,,,,,Eurasian Crag-Martin,Ptyonoprogne rupestris,Aitor Zabala,2021-05-11,2021,4.74,46,Europe,4.74
608606352,ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,800,248 mm,Flash did not fire,f/6.3,1/400 sec,2807 pixels x 1871 pixels,2.89 MB,,,,,Eurasian Goshawk,Astur gentilis,Ernesto  Orellana Avilés,2023-09-08,2023,4.74,27,Europe,4.74
596250621,Canon EOS 90D,EF300mm f/2.8L IS USM +2x,1250,600 mm,Flash did not fire,f/5.6,1/1250 sec,1507 pixels x 1080 pixels,1.17 MB,,,,,Dunnock,Prunella modularis,Sergio Hoces lucena,2023-05-28,2023,4.74,27,Europe,4.74
174357041,NIKON D7200,150.0-600.0 mm f/5.0-6.3,220,600 mm,"Flash did not fire, auto",f/8.0,1/1000 sec,1800 pixels x 1200 pixels,1.65 MB,,,,,White-tufted Grebe,Rollandia rolland,Javier Gross,2019-08-26,2019,4.94,47,South America,4.738367346938776
67352161,Canon EOS 60D,EF400mm f/5.6L USM,320,400 mm,"Flash did not fire, auto",f/6.3,1/1000 sec,1806 pixels x 1111 pixels,369.4 KB,,,,,European Herring Gull,Larus argentatus,Adrien Mauss,2017-08-22,2017,4.91,53,Europe,4.731454545454546
614875009,NIKON Z 50,NIKKOR Z DX 50-250mm f/4.5-6.3 VR,1250,250 mm,Flash did not fire,f/6.3,1/1600 sec,1697 pixels x 1831 pixels,1 MB,,,,,Peregrine Falcon (Shaheen),Falco peregrinus peregrinator,Shamik Sathe,2024-02-16,2024,4.73,26,Asia,4.73
622577475,Canon EOS 7D,,640,400 mm,Flash did not fire,f/5.6,1/2000 sec,4285 pixels x 2873 pixels,2.31 MB,,,,,Atlantic Puffin,Fratercula arctica,Rachel Baum,2024-06-28,2024,4.73,30,Europe,4.73
94572031,NIKON D750,,640,280 mm,"Flash did not fire, auto",f/9.0,0.01 sec,2362 pixels x 2362 pixels,4.42 MB,,,,,Pacific Black Duck,Anas superciliosa,Dan Forster,2018-04-15,2018,4.73,49,Australia,4.73
95041301,NIKON D300S,,200,26.4 mm,Flash did not fire,f/7.1,1/500 sec,3545 pixels x 2530 pixels,5.52 MB,,,,,Secretarybird,Sagittarius serpentarius,Kurt Hennige,2018-04-06,2018,4.73,37,Africa,4.73
94379711,ILCA-77M2,70-300mm F4-5.6 SSM,400,180 mm,"Flash did not fire, auto",f/8.0,1/320 sec,6000 pixels x 4000 pixels,5.5 MB,,,,,Pileated Woodpecker,Dryocopus pileatus,Alan Hingston,2018-04-10,2018,4.73,73,North America,4.73
261109361,NIKON D7500,150.0-600.0 mm f/5.0-6.3,220,600 mm,Flash did not fire,f/8.0,1/1250 sec,3158 pixels x 2256 pixels,4.67 MB,,,,,Square-tailed Kite,Lophoictinia isura,Donna Hall,2020-09-08,2020,4.73,30,Australia,4.73
56741281,DMC-GX7,,800,30 mm,"Flash did not fire, auto",f/2.8,1/1600 sec,1600 pixels x 1200 pixels,229.61 KB,,,,,Great Slaty Woodpecker,Mulleripicus pulverulentus,Kai Soon Chan,2017-05-01,2017,4.73,26,Asia,4.73
74245081,NIKON D5300,,160,300 mm,Flash did not fire,f/5.6,1/1600 sec,1877 pixels x 1058 pixels,1.31 MB,,,,,Great Horned Owl,Bubo virginianus,Ryan Claar,2017-11-05,2017,4.73,116,North America,4.73
58569811,Canon EOS REBEL T3i,,800,35 mm,"Flash did not fire, auto",f/5.0,1/250 sec,2291 pixels x 1651 pixels,2.74 MB,,,,,Rook,Corvus frugilegus,Stephen Altic,2016-10-26,2016,4.73,51,Europe,4.73
60883001,NIKON D500,,900,460 mm,Flash did not fire,f/7.1,1/1600 sec,900 pixels x 625 pixels,212.12 KB,,,,,Eurasian Sparrowhawk,Accipiter nisus,Seppo Niemispelto,2017-06-06,2017,4.73,22,Europe,4.73
385501771,Canon EOS 7D Mark II,EF400mm f/5.6L USM,1600,400 mm,Flash did not fire,f/5.6,1/500 sec,2828 pixels x 3547 pixels,8.19 MB,,,,,Pine Grosbeak,Pinicola enucleator,Andrew Barski,2021-11-05,2021,4.73,22,Europe,4.73
220452231,NIKON D500,,400,500 mm,Flash did not fire,f/6.3,1/800 sec,5011 pixels x 3340 pixels,1.86 MB,,,,,American Crow,Corvus brachyrhynchos,Brian Henderson,2017-09-08,2017,4.73,77,North America,4.73
625011485,NIKON Z 9,NIKKOR Z 180-600mm f/5.6-6.3 VR,1800,600 mm,Flash did not fire,f/6.3,1/1600 sec,2048 pixels x 1530 pixels,1.32 MB,,,,,Yellow Rail,Coturnicops noveboracensis,Michael Hochstetler,2024-10-15,2024,4.73,84,North America,4.73
73982991,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,800,400 mm,"Flash did not fire, auto",f/5.6,1/500 sec,2500 pixels x 1666 pixels,2.59 MB,,,,,Bare-faced Go-away-bird,Crinifer personatus,Daryl Dell,2017-10-10,2017,4.73,22,Africa,4.73
424681231,Canon EOS 80D,TAMRON SP 150-600mm F/5-6.3 Di VC USD G2 A022,1600,600 mm,Flash did not fire,f/6.3,1/200 sec,3000 pixels x 2000 pixels,2.67 MB,,,,,Black-backed Dwarf-Kingfisher,Ceyx erithaca,Harshith JV,2022-03-12,2022,4.73,48,Asia,4.73
334523991,NIKON D7200,,720,600 mm,Flash did not fire,f/7.1,1/2000 sec,9000 pixels x 6001 pixels,10.67 MB,,,,,European Bee-eater,Merops apiaster,Mu Sano,2021-05-06,2021,4.73,56,Europe,4.73
56153091,Canon EOS 600D,EF70-300mm f/4-5.6 IS USM,640,165 mm,"Flash did not fire, auto",f/9.0,1/320 sec,4429 pixels x 3047 pixels,4.45 MB,,,,,Eurasian Hoopoe (African),Upupa epops africana,David Guarnieri,2017-04-29,2017,4.73,22,Africa,4.73
107465161,NIKON D7200,80.0-400.0 mm f/4.5-5.6,800,400 mm,"Flash did not fire, auto",f/5.6,1/320 sec,2048 pixels x 1444 pixels,1.93 MB,,,,,Malachite Sunbird,Nectarinia famosa,George Pagos,2018-04-23,2018,4.73,30,Africa,4.73
611003288,Canon EOS 70D,EF100-400mm f/4.5-5.6L IS II USM,160,248 mm,Flash did not fire,f/5.6,1/320 sec,5215 pixels x 3477 pixels,3.35 MB,,,,,Greater Flamingo,Phoenicopterus roseus,Ali Atahan,2023-11-11,2023,4.73,168,Asia,4.73
387394601,NIKON D850,800.0 mm f/5.6,3600,800 mm,Flash did not fire,f/5.6,1/1600 sec,2077 pixels x 1409 pixels,297.73 KB,,,,,Peruvian Sheartail,Thaumastura cora,Dustin Chen,2020-02-04,2020,4.73,48,South America,4.73
362398681,Canon EOS 5D Mark IV,EF100-400mm f/4.5-5.6L IS II USM,400,400 mm,Flash did not fire,f/6.3,1/2000 sec,2660 pixels x 1773 pixels,520.59 KB,,,,,Great Gray Shrike (Sahara),Lanius excubitor [elegans Group],Matthew Mellor,2021-08-11,2021,4.73,22,Africa,4.73
487058031,NIKON D3500,70.0-300.0 mm f/4.5-6.3,1600,300 mm,Flash did not fire,f/6.3,1/320 sec,6000 pixels x 4000 pixels,10.22 MB,,,,,Many-colored Rush Tyrant,Tachuris rubrigastra,Pamela Arias Alessandrini,2022-09-11,2022,4.73,51,South America,4.73
104023951,NIKON D7200,150.0-600.0 mm f/5.0-6.3,1100,600 mm,"Flash did not fire, auto",f/6.3,1/1000 sec,3928 pixels x 2648 pixels,3.63 MB,,,,,Blue Rock-Thrush,Monticola solitarius,Antonio Ceballos Barbancho,2018-06-09,2018,4.73,52,Europe,4.73
96756671,NIKON D7100,150.0-500.0 mm f/5.0-6.3,6400,500 mm,"Flash did not fire, auto",f/8.0,1/320 sec,2400 pixels x 1600 pixels,2.58 MB,,,,,Swallow Tanager,Tersina viridis,Jerome Foster,2018-04-26,2018,4.73,45,South America,4.73
616675248,Canon EOS R10,RF100-400mm F5.6-8 IS USM,640,400 mm,Flash did not fire,f/8.0,0.01 sec,4673 pixels x 3115 pixels,9.36 MB,,,,,American Woodcock,Scolopax minor,Karim Bouzidi,2024-03-23,2024,4.73,192,North America,4.73
522217961,NIKON D500,,800,500 mm,Flash did not fire,f/5.6,1/400 sec,4413 pixels x 2759 pixels,9.17 MB,,,,,Spanish Sparrow,Passer hispaniolensis,Julia Wittmann,2022-02-14,2022,4.73,22,Africa,4.73
135739871,EOS 7D,,1000,400 mm,,f/5.7,753/500000 sec,5184 pixels x 3456 pixels,3.05 MB,,,,,Common Raven,Corvus corax,Kyle Lima,2017-03-10,2017,4.73,79,North America,4.73
510009831,Canon EOS 77D,150-600mm F5-6.3 DG OS HSM | Contemporary 015,800,435 mm,Flash did not fire,f/6.3,1/4000 sec,4749 pixels x 3275 pixels,4.91 MB,,,,,Red Phalarope,Phalaropus fulicarius,David Santamaría Urbano,2022-12-04,2022,4.73,30,Europe,4.73
165622261,Canon EOS Rebel T6i,TAMRON SP 150-600mm F/5-6.3 Di VC USD G2 A022,800,256 mm,"Flash did not fire, auto",f/6.3,1/400 sec,2304 pixels x 1536 pixels,803.58 KB,,,,,Common Wood-Pigeon,Columba palumbus,Andrew E and Rebecca A Steinmann,2019-06-24,2019,4.73,49,Europe,4.73
267722931,NIKON D5200,,320,600 mm,Flash did not fire,f/10.0,1/500 sec,2539 pixels x 1608 pixels,1.6 MB,,,,,Western Yellow Wagtail (flava),Motacilla flava flava,Álvaro García Martín,2020-10-03,2020,4.73,30,Europe,4.73
187786641,Canon EOS 80D,EF100-400mm f/4.5-5.6L IS II USM +1.4x III,640,560 mm,"Flash did not fire, auto",f/8.0,1/320 sec,4544 pixels x 3030 pixels,2.11 MB,,,,,European Goldfinch,Carduelis carduelis,Francisco Barroqueiro,2019-11-12,2019,4.72,53,Europe,4.72
471438011,Canon EOS 7D Mark II,EF400mm f/5.6L USM,400,400 mm,Flash did not fire,f/5.6,1/200 sec,5472 pixels x 3648 pixels,2.24 MB,,,,,Willow Warbler,Phylloscopus trochilus,Ray Scally,2022-07-31,2022,4.72,25,Europe,4.72
112429311,Canon EOS-1D X Mark II,EF500mm f/4L IS II USM +2x III,1000,1000 mm,"Flash did not fire, auto",f/8.0,1/2000 sec,2923 pixels x 1948 pixels,6.51 MB,,,,,Red-and-green Macaw,Ara chloropterus,Jon Irvine,2018-07-30,2018,4.72,118,South America,4.72
345885591,Canon EOS-1D Mark IV,EF500mm f/4L IS USM +1.4x,1000,700 mm,Flash did not fire,f/8.0,1/640 sec,2604 pixels x 1735 pixels,2.71 MB,,,,,Japanese Leaf/Arctic/Kamchatka Leaf Warbler,Phylloscopus xanthodryas/borealis/examinandus,浙江 重要鸟讯汇整,2015-10-06,2015,4.72,29,Asia,4.72
127178951,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,1000,400 mm,"Flash did not fire, auto",f/5.6,1/1000 sec,5472 pixels x 3648 pixels,537.64 KB,,,,,Green Honeycreeper,Chlorophanes spiza,Linda Rudolph,2018-11-11,2018,4.72,25,South America,4.72
415300691,Canon EOS 7D Mark II,150-600mm F5-6.3 DG OS HSM | Contemporary 015,500,484 mm,Flash did not fire,f/6.3,1/1250 sec,5235 pixels x 3490 pixels,615.4 KB,,,,,Australasian Grebe,Tachybaptus novaehollandiae,Murray Kelman,2022-01-07,2022,4.72,46,Australia,4.72
109124861,NIKON D500,200.0-500.0 mm f/5.6,3200,500 mm,Flash did not fire,f/5.6,1/2500 sec,4769 pixels x 3303 pixels,4.47 MB,,,,,Mallard,Anas platyrhynchos,Annie Lavoie,2018-07-29,2018,4.72,158,North America,4.72
336413931,Canon EOS 90D,EF100-400mm f/4.5-5.6L IS II USM,1000,400 mm,Flash did not fire,f/5.6,1/1000 sec,2069 pixels x 1655 pixels,1.33 MB,,,,,Painted Firetail,Emblema pictum,John Lowry,2021-05-06,2021,4.72,58,Australia,4.72
425385631,NIKON D500,300.0 mm f/4.0,4500,300 mm,Flash did not fire,f/5.6,1/640 sec,3854 pixels x 2890 pixels,2.63 MB,,,,,Eurasian Thick-knee,Burhinus oedicnemus,Xueping & Stephan Popp,2022-03-08,2022,4.72,25,Africa,4.72
145436551,NIKON D500,,100,300 mm,Flash did not fire,f/7.1,1/500 sec,2458 pixels x 1639 pixels,1.47 MB,,,,,Northern Shrike,Lanius borealis,Yves Darveau,2019-03-12,2019,4.72,87,North America,4.72
108874801,Canon PowerShot SX40 HS,,400,150.5 mm,"Flash did not fire, auto",f/5.8,1/200 sec,1550 pixels x 1094 pixels,434.33 KB,,,,,Crimson Rosella,Platycercus elegans,Ash Allnutt,2018-07-28,2018,4.72,46,Australia,4.72
406727331,NIKON Z 6_2,AF-S NIKKOR 500mm f/5.6E PF ED VR,3200,500 mm,Flash did not fire,f/5.6,1/2000 sec,2985 pixels x 2075 pixels,4.06 MB,,,,,Snowy Owl,Bubo scandiacus,Cynthia Carlson,2022-01-16,2022,4.72,164,North America,4.72
622258082,Canon EOS R5,EF400mm f/4 DO IS II USM +1.4x III,6400,560 mm,Flash did not fire,f/5.6,1/400 sec,1800 pixels x 1201 pixels,2.62 MB,,,,,Squacco Heron,Ardeola ralloides,Michal Rycak,2024-08-06,2024,4.72,25,Europe,4.72
234498471,NIKON D500,,1600,500 mm,Flash did not fire,f/5.6,1/250 sec,3228 pixels x 3712 pixels,9.37 MB,,,,,Greater Yellownape,Chrysophlegma flavinucha,Savithri Singh,2019-04-16,2019,4.72,47,Asia,4.72
115055991,Canon EOS 5D Mark IV,EF600mm f/4L IS II USM +1.4x III,1600,840 mm,"Flash did not fire, auto",f/6.3,1/1600 sec,2048 pixels x 1365 pixels,1.14 MB,,,,,Spotted Harrier,Circus assimilis,Brian  Aherne,2018-09-16,2018,4.72,39,Australia,4.72
437504041,Canon EOS R5,EF500mm f/4L IS USM +1.4x III,400,700 mm,Flash did not fire,f/5.6,1/250 sec,4813 pixels x 3209 pixels,1.43 MB,,,,,Common Grasshopper Warbler,Locustella naevia,Luis Alvarez,2022-04-03,2022,4.72,29,Europe,4.72
45363901,NIKON D500,200.0-500.0 mm f/5.6,800,500 mm,Flash did not fire,f/8.0,1/5000 sec,3000 pixels x 2000 pixels,3.55 MB,,,,,White-crowned Sparrow,Zonotrichia leucophrys,Michel Bourque,2017-01-13,2017,4.72,197,North America,4.72
383244531,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,800,360 mm,Flash did not fire,f/5.6,1/80 sec,5472 pixels x 3648 pixels,1.67 MB,,,,,American Crow,Corvus brachyrhynchos,Melissa Hafting,2021-10-27,2021,4.72,90,North America,4.72
536006561,ILCE-7M3,FE 200-600mm F5.6-6.3 G OSS,2500,284 mm,Flash did not fire,f/5.6,1/320 sec,2573 pixels x 3431 pixels,1.85 MB,,,,,Powerful Owl,Ninox strenua,Guy Pardey,2023-02-17,2023,4.72,25,Australia,4.72
495004721,Canon EOS 4000D,150-500mm,160,500 mm,Flash did not fire,f/7.1,1/800 sec,5184 pixels x 3456 pixels,11.6 MB,,,,,Common Redshank,Tringa totanus,Jordan Grau,2022-10-17,2022,4.72,53,Asia,4.72
461889051,Canon EOS 90D,150-600mm F5-6.3 DG OS HSM | Contemporary 015,640,302 mm,Flash did not fire,f/8.0,1/2000 sec,4348 pixels x 2898 pixels,7.89 MB,,,,,Wood Sandpiper,Tringa glareola,Joseph Rowsome,2022-05-07,2022,4.72,61,Europe,4.72
173147731,NIKON D5300,,400,500 mm,"Flash did not fire, auto",f/8.0,1/2000 sec,6000 pixels x 4000 pixels,3.45 MB,,,,,Little Corella,Cacatua sanguinea,Ethan Monk,2019-08-05,2019,4.72,36,Australia,4.72
466777471,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,160,400 mm,Flash did not fire,f/8.0,1/500 sec,3478 pixels x 2318 pixels,1.03 MB,,,,,Banded Lapwing,Vanellus tricolor,Alan Henry,2022-07-12,2022,4.72,36,Australia,4.72
613758846,Canon EOS 90D,150-600mm F5-6.3 DG OS HSM | Contemporary 015,800,435 mm,Flash did not fire,f/8.0,1/320 sec,5889 pixels x 3926 pixels,12.56 MB,,,,,Redwing,Turdus iliacus,Noah Konopny Cohen,2024-01-20,2024,4.71,24,Asia,4.71
66341291,Canon EOS 7D Mark II,EF600mm f/4L USM,800,600 mm,"Flash did not fire, auto",f/4.0,1/1250 sec,960 pixels x 644 pixels,175.78 KB,,,,,Garden Warbler,Sylvia borin,Luis Rodrigues,2016-08-13,2016,4.71,28,Europe,4.71
519997801,OM-1,OLYMPUS M.150-400mm F4.5 TC,6400,500 mm,Flash did not fire,f/5.6,1/320 sec,4000 pixels x 3038 pixels,6.84 MB,,,,,Isabelline Wheatear,Oenanthe isabellina,Simon Colenutt,2023-01-03,2023,4.71,31,Europe,4.71
388998281,NIKON D500,TAMRON SP AF 150-600mm F5-6.3 VC USD A011N,100,500 mm,Flash did not fire,f/6.3,1/1000 sec,4273 pixels x 2849 pixels,3.24 MB,,,,,Mediterranean Gull,Ichthyaetus melanocephalus,Bittor Mutiozabal,2021-11-18,2021,4.71,48,Europe,4.71
62304201,Canon EOS-1D X Mark II,EF100-400mm f/4.5-5.6L IS II USM +1.4x III,1600,560 mm,"Flash did not fire, auto",f/8.0,1/1500 sec,1200 pixels x 800 pixels,603.62 KB,,,,,Whiskered Auklet,Aethia pygmaea,Tony Palliser,2017-06-15,2017,4.71,34,Asia,4.71
